MARKET,TIMESTAMP,CURRENT_DEMOGRAPHIC_SCORE,NUM_RECORDS,ADDRESS_BASIC_GOOD,ADDRESS_BASIC_MANUAL,ADDRESS_BASIC_AUTO,ADDRESS_FINAL_GOOD,ADDRESS_FINAL_MANUAL,ADDRESS_FINAL_AUTO,PHONE_FINAL_GOOD,PHONE_FINAL_MANUAL,PHONE_FINAL_AUTO,SPCLTY_GOOD,SPCLTY_MANUAL,SPCLTY_AUTO
AR,20240728,88.7,17351,8346,4119,5279,10483,7237,33,15579,1869,10,15035,1402,914
AZ,20240728,84.3,7378,3836,2854,1397,3876,3982,221,6534,976,25,5988,1112,278
CA,20240728,N/A,450206,136659,129531,238578,278527,238227,16165,349462,115188,4198,373540,65565,11101
CO,20240721,86.9,82427,36715,21013,29054,51441,37227,724,73337,11213,580,55563,17874,8990
CT,20240728,N/A,67471,32531,12928,22969,49112,19423,57,58247,7878,1010,55464,5576,6431
DC,20240728,N/A,7994,4432,2197,1420,4984,3067,8,6746,1333,3,4201,3235,558
FL,20240728,N/A,59641,27355,15300,17845,29757,29656,1354,47451,12958,132,45273,11231,3137
GA,20240728,N/A,283974,97674,80533,116240,247530,51592,1963,268451,28083,2469,184629,91463,7882
IA,20240728,87,41911,21382,11260,10265,23090,19679,59,36780,5284,120,26752,12752,2407
IN,20240721,83.6,157277,72297,39166,50328,96176,63544,3789,120189,36143,4179,124184,27332,5761
KY,20240721,84,499019,223869,121410,165347,302916,205080,10068,392795,104835,11504,335253,136285,27481
LA,20240728,N/A,25644,11484,6039,8452,13991,11822,146,22079,2710,1071,21504,3534,606
MD,20240721,89.2,31570,19362,7879,4771,21021,10894,145,28246,3476,57,21583,8298,1689
ME,20240721,N/A,27657,10134,8752,8932,23034,4830,25,24022,2661,15,21930,3745,1982
MO,20240728,87.1,441737,229728,116093,107617,310586,142305,5751,345994,102855,4217,296717,120702,24318
NH,20240721,N/A,110590,53115,26998,32168,79090,33177,370,89606,20507,433,89115,10645,10830
NJ,20240721,84.3,35599,19277,9171,7645,21968,13967,299,27525,7065,1314,28478,5139,1982
NV,20240728,87.2,29654,12544,7572,11377,16860,15294,229,26157,4117,62,21865,5040,2749
NY,20240728,N/A,305693,121131,69616,128257,178982,143285,5559,278883,32726,653,219203,74461,12029
NYWEST,20240721,N/A,17442,6707,5623,6064,8630,9396,248,14013,3836,174,10507,6042,893
OH,20240728,N/A,829121,267119,162891,413555,703506,146059,4931,776226,57907,4816,490471,300208,38442
TN,20240721,N/A,71380,22396,16831,33174,25235,44330,2824,66506,4384,710,58259,10938,2183
TX,20240728,N/A,157004,58867,48167,55911,68813,75716,19611,107454,45985,6341,110412,31403,15189
VA,20240728,N/A,333442,98397,90517,147602,121561,222979,731,292684,46585,48,153862,153658,25922
WA,20240721,N/A,61763,20853,14600,27617,28435,33264,1608,55614,6013,847,39066,18384,4313
WI,20240721,N/A,60871,35815,14870,11317,43730,18611,324,47432,12934,1599,47475,9955,3441
WV,20240721,N/A,24001,11234,6377,6849,13885,10723,107,19927,3628,519,12779,9351,1871
